URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2024/2024_w23.seq/356.smp/ISQEC.xraw
639.2	2380.352539
640.3	2379.304688
641.2	9243.450195
642.3	1407.795288
643.0	4186.397949
643.5	4557.738281
644.2	6677.523926
644.8	1251.311157
645.5	2255.460693
646.2	837.805481
647.3	9053.166016
648.0	3311.152832
648.6	0.036244
649.7	1001.734985
651.1	2000.707397
652.6	1624.666016
653.1	8957.260742
654.3	8145.366211
655.1	5695.647949
656.3	2126.501221
658.0	2166.750244
658.8	712.788574
659.3	3406.625732
660.7	335.365997
661.4	1631.662598
662.0	0.260985
662.6	2781.965088
663.3	6448.846191
664.1	5.370376
664.9	3577.375000
665.8	3763.168701
666.4	680.311951
667.3	2434.195801
668.4	2234.748047
669.3	4136.092285
670.1	952.669250
670.9	4317.345703
671.6	2674.404297
672.4	461.284698
673.0	5641.177734
673.7	0.630327
674.4	94.218132
675.5	3259.344482
676.3	0.000024
677.6	3171.852539
678.2	2640.858154
679.2	4250.479492
679.9	4103.775391
680.6	0.196372
681.2	1956.060181
682.4	2869.278809
683.3	3936.241943
684.0	8224.693359
684.5	1714.759766
686.0	1087.497070
687.2	128.847000
688.9	1853.923828
690.2	12305.324219
690.8	2299.558838
691.4	433.877258
692.4	5521.238281
693.3	5116.409668
693.8	977.851501
694.4	363.162476
695.3	13073.350586
696.2	7310.350098
697.1	939.238647
697.7	7194.867188
698.5	2874.151367
699.4	2131.167725
700.0	570.308411
700.8	4.438871
701.4	163.821503
702.4	1362.022827
703.0	3047.834961
703.7	1883.782104
705.3	12204.441406
706.2	1638.682495
707.3	6198.519531
708.5	6567.647461
709.3	4997.407227
710.2	663.079956
711.3	42.775536
712.3	2409.627197
713.5	2352.421387
714.2	1070.266846
714.8	0.070392
715.7	3297.750732
717.0	1276.233521
718.1	5168.195801
719.0	1988.683716
719.7	6507.733398
721.4	7195.441406
722.1	1280.810059
722.9	2308.959717
723.5	3590.738770
724.4	2613.066162
725.3	4416.227539
726.1	4300.416992
727.1	585.453308
728.1	4482.744141
729.1	1142.697998
730.5	4284.046387
731.2	749.016663
731.8	0.000000
732.3	0.000000
733.4	0.061930
734.4	4518.525391
735.1	1.384822
735.6	131.839233
736.4	0.171238
737.3	2917.189453
737.8	2358.430908
738.5	2594.564697
739.5	547.219360
740.3	1887.819458
741.1	2196.065430
742.2	101.335457
743.2	0.000034
744.3	1759.838501
745.2	2412.805908
745.7	3385.320557
746.2	2657.197266
747.1	2740.490723
747.8	0.276987
748.4	100.176208
749.4	3362.798340
750.4	6.163649
751.4	905.676270
751.9	2455.559814
752.6	554.058899
753.3	0.124768
754.1	1845.036987
754.7	0.042154
755.3	1496.352417
756.0	1.235395
756.6	426.627350
757.4	6981.891602
757.9	0.592319
759.0	2519.044678
759.7	1366.139160
761.4	2180.093018
761.9	7422.946777
763.0	0.116847
763.7	0.161840
764.5	534.953918
765.6	516.537292
766.3	894.381531
766.8	0.000000
767.7	627.970886
768.4	1411.546753
769.1	4511.227051
770.0	0.289321
770.6	1345.057739
771.3	768.762329
772.2	0.000000
773.2	176.331421
774.3	304.062622
775.4	375.218292
776.4	2041.050781
777.2	2.173287
778.4	2.495304
779.0	0.186120
779.5	511.458344
780.2	0.373030
781.3	4.897851
782.6	2811.759766
783.6	743.296265
784.5	6191.823242
785.4	6562.092773
786.3	15937.622070
787.2	6863.048828
788.5	10878.057617
789.4	2795.634277
790.4	778.786560
791.3	498.042206
792.1	1394.925781
793.8	0.309360
794.5	409.864960
795.2	1027.814087
796.0	2240.605713
797.0	4230.883789
798.1	3585.460938
798.7	11143.621094
799.3	1210.615845
800.2	1484.440796
800.7	1644.392700
801.2	456.726074
802.0	6.988637
802.9	1017.583923
803.4	667.314819
804.3	0.142138
805.5	0.293215
806.2	3272.443359
807.5	6793.178223
808.3	646.241211
809.3	0.000000
810.2	2.594268
811.6	1839.697510
812.3	0.139654
813.5	151.610046
814.6	60.412300
815.4	0.000000
816.2	379.477753
817.1	605.596497
817.7	125.325195
818.9	2861.337402
819.5	1424.942993
820.4	3637.841797
821.0	280.167816
821.8	610.823364
823.0	0.417649
824.2	4311.835449
824.7	0.649737
826.2	10294.279297
826.9	739.829346
827.7	226.977097
828.8	5.213057
829.3	766.927917
830.4	2169.091553
831.0	0.049093
832.3	4085.145264
833.2	502.251709
